ServiceID,PartName,ServiceType,MileageAtReplacement,WasBroken,Severity
1,"Engine Oil & Filter","Minor Service",8841,"No",1
2,"Spark Plugs","Major Service",57084,"No",2
3,"Brake Pads & Discs","Minor Service",43377,"No",1
4,"Drive/Serpentine Belt","Major Service",68118,"Yes",5
5,"Engine Oil & Filter","Minor Service",8757,"No",2
6,"Spark Plugs","Major Service",41723,"No",2
7,"Brake Pads & Discs","Minor Service",32746,"No",2
8,"Wiper Blades","Minor Service",16508,"Yes",4
9,"Coolant Flush","Major Service",112151,"No",1
10,"Brake Pads & Discs","Minor Service",28181,"No",1
11,"Engine Air Filter","Minor Service",21628,"No",2
12,"Engine Air Filter","Minor Service",20487,"Yes",4
13,"Mass Airflow Sensor","Diagnostic",112836,"Yes",5
14,"Drive/Serpentine Belt","Major Service",60978,"No",1
15,"Engine Oil & Filter","Minor Service",7593,"No",2
16,"Engine Air Filter","Minor Service",20122,"No",1
17,"Brake Pads & Discs","Minor Service",44339,"Yes",5
18,"Engine Oil & Filter","Minor Service",9764,"No",1
19,"Transmission Fluid","Major Service",87561,"Yes",3
20,"Engine Oil & Filter","Minor Service",8463,"No",2
21,"Oxygen (O2) Sensor","Diagnostic",117075,"Yes",3
22,"Cabin Air Filter","Minor Service",21418,"Yes",5
23,"Wiper Blades","Minor Service",8692,"No",2
24,"Wiper Blades","Minor Service",11814,"No",2
25,"Wiper Blades","Minor Service",22296,"No",2
26,"Engine Air Filter","Minor Service",19396,"No",1
27,"Brake Pads & Discs","Minor Service",29127,"No",1
28,"Alternator","Diagnostic",150921,"Yes",4
29,"Shocks & Struts","Major Service",89211,"Yes",5
30,"Wiper Blades","Minor Service",13985,"No",2
31,"Engine Oil & Filter","Minor Service",11821,"Yes",5
32,"Engine Oil & Filter","Minor Service",9127,"No",2
33,"Oxygen (O2) Sensor","Diagnostic",145583,"Yes",4
34,"Engine Air Filter","Minor Service",13581,"No",2
35,"Wiper Blades","Minor Service",11089,"No",2
36,"Brake Pads & Discs","Minor Service",26979,"No",2
37,"Brake Pads & Discs","Minor Service",34131,"No",2
38,"Wiper Blades","Minor Service",16499,"Yes",3
39,"Wiper Blades","Minor Service",17624,"Yes",5
40,"Engine Air Filter","Minor Service",21660,"Yes",5
41,"Cabin Air Filter","Minor Service",23087,"No",1
42,"Spark Plugs","Major Service",39704,"No",1
43,"Engine Oil & Filter","Minor Service",9650,"No",1
44,"Cabin Air Filter","Minor Service",15785,"No",1
45,"Engine Oil & Filter","Minor Service",9941,"No",1
46,"Transmission Fluid","Major Service",65718,"No",2
47,"Engine Oil & Filter","Minor Service",14205,"Yes",5
48,"Cabin Air Filter","Minor Service",19529,"No",2
49,"Spark Plugs","Major Service",55119,"Yes",4
50,"Wiper Blades","Minor Service",16899,"No",1
51,"Cabin Air Filter","Minor Service",20142,"No",2
52,"Engine Oil & Filter","Minor Service",10144,"Yes",4
53,"Cabin Air Filter","Minor Service",20847,"No",1
54,"Wiper Blades","Minor Service",7964,"No",1
55,"Shocks & Struts","Major Service",87190,"Yes",4
56,"Brake Pads & Discs","Minor Service",32203,"Yes",4
57,"Spark Plugs","Major Service",50159,"No",1
58,"Engine Oil & Filter","Minor Service",6600,"No",2
59,"Cabin Air Filter","Minor Service",20998,"Yes",4
60,"Oxygen (O2) Sensor","Diagnostic",115835,"No",1
61,"Cabin Air Filter","Minor Service",12159,"No",2
62,"Cabin Air Filter","Minor Service",20330,"No",2
63,"Transmission Fluid","Major Service",88579,"No",1
64,"Cabin Air Filter","Minor Service",21920,"No",2
65,"Wiper Blades","Minor Service",16176,"No",1
66,"Cabin Air Filter","Minor Service",19504,"Yes",5
67,"Engine Oil & Filter","Minor Service",10017,"No",1
68,"Wiper Blades","Minor Service",15937,"No",2
69,"Wiper Blades","Minor Service",17313,"No",1
70,"Wiper Blades","Minor Service",16139,"No",2
71,"Wiper Blades","Minor Service",18419,"No",1
72,"Engine Oil & Filter","Minor Service",12032,"No",2
73,"Engine Oil & Filter","Minor Service",7198,"No",1
74,"Transmission Fluid","Major Service",99548,"Yes",4
75,"Wiper Blades","Minor Service",18075,"Yes",3
76,"Engine Air Filter","Minor Service",21934,"No",2
77,"Cabin Air Filter","Minor Service",21260,"No",2
78,"Engine Oil & Filter","Minor Service",10085,"No",2
79,"Wiper Blades","Minor Service",12944,"No",1
80,"Wiper Blades","Minor Service",15638,"No",2
81,"Engine Air Filter","Minor Service",17147,"No",2
